"Geo_FIPS","Edu_2019","Unemp_2019","Income_2019","Built_2019","Rent_2019"
17031804705,11.14,2.93,63277,45,1390
17031804716,6.62,6.49,96667,38,1515
17031804808,4.33,5.66,107931,48,1813
17031805108,11.1,6.17,60435,47,1200
17031710300,13.5,26.41,35568,76,997
17031720100,3,4.81,149605,0,1293
17031730100,10.05,20.11,53125,61,1114
17031770601,7.98,1.47,96442,62,1387
17031805301,12.97,3.14,66250,57,928
17031805702,2.67,2.71,122813,61,2078
17031807700,10.59,3.04,48338,60,1096
17031809000,1.81,1.94,149583,0,2189
17031360200,8.69,10.41,31674,23,861
17031380500,16.75,20.68,20541,14,739
17043840304,11.21,6.54,91011,47,1836
17197883602,5.91,4.97,71416,24,866
17197883902,7.26,3.47,87301,39,942
17197980100,41.77,0,168750,41,0
17043840906,15.19,3.28,59205,46,1106
17043841109,11.46,5.03,67199,45,1184
17043841205,13.44,3.34,87994,43,1170
17043841314,7.47,2.51,122011,42,1680
17031120300,5.36,4.5,127473,68,0
17031140100,23.3,8.51,54394,0,1223
17031140500,12.25,6.17,66818,0,1112
17031150402,7.39,4.63,87708,0,1104
17031150600,8.66,2.8,67957,0,1083
17031151100,20.38,6.41,64063,0,1046
17031160400,14.23,2.72,61815,0,1079
17031170400,13.14,3.6,63542,67,1164
17031170900,17.81,4.96,68958,65,1152
17031190401,17.73,6.52,63750,73,1251
17031190702,42.64,5.56,41083,0,1072
17031191301,36.63,3.28,50046,75,1077
17031200401,42.49,11.07,45074,0,980
17031210800,19.11,3.24,60948,0,1094
17031220902,15.81,2.86,57150,0,1127
17031221200,3.47,2.41,101130,0,1570
17043842300,0.54,2.48,154952,62,2283
17043842500,2.14,3.34,123163,56,1524
17043842710,6.54,3.54,71012,45,1252
17043843500,4.21,3.34,73611,62,1101
17031809800,3.86,4.55,95156,0,1211
17031810200,14.47,2.44,62416,75,1243
17031810702,16.2,1.19,56964,56,902
17031811401,14.42,7.74,69097,65,598
17031812000,0,2.32,121503,0,1169
17031812801,4.32,4.21,68466,65,1074
17031813000,2.02,4.36,114333,0,1193
17031813301,32.97,3.92,41589,0,869
17031814700,19.31,2.95,76735,0,1054
17031381700,0,0,0,0,0
17031390500,1.76,3.84,46442,80,1185
17031815500,14.14,4.09,70917,69,1066
17031816300,25.48,6.32,64073,68,1274
17031826301,12.37,13.36,54347,56,1170
17031570400,30.4,8.72,42332,79,874
17031580200,37.37,6.18,38018,0,939
17031590500,21.26,11.02,67250,0,1037
17111870302,29.25,7.29,50568,56,912
17111870807,7.45,2.97,98476,45,1196
17111870903,15.69,4.9,55974,74,996
17031600600,35.85,8.3,37670,0,932
17031611200,24.76,10.98,27800,0,733
17031611700,25.91,24.86,24444,74,821
17031620300,34.96,15.52,55779,64,1112
17031630200,29.3,11.68,37422,70,897
17031640400,18.34,7.85,59398,57,949
17031640800,17.08,9.35,51944,69,918
17031660302,34.08,19.86,30891,69,912
17031280800,19.09,16.1,18077,35,534
17031283100,4.2,8.13,38705,45,1627
17031290900,20.97,32.15,25542,68,964
17031300700,55.81,10.53,40789,0,876
17031301702,42.71,8.62,43771,0,820
17031310500,29.84,3.31,45417,0,1009
17031340300,39.61,4.72,33333,56,607
17031340400,25.78,4.81,50256,62,938
17097861010,5.7,7.02,90909,32,1405
17097861301,17.21,7.83,58247,35,1303
17097861404,23.32,4.31,66186,46,1204
17097861607,5.16,4.77,68140,51,1268
17031826600,14.01,19.4,39266,65,1095
17031801701,0.62,2.18,186111,55,3000
17031801901,4.91,6.04,93207,38,1837
17031802402,16.79,2.19,63575,33,1098
17031802609,17.64,2.08,55354,45,1193
17031803010,2.78,4.31,113750,43,1343
17031803300,5.88,3.37,108891,46,1364
17031819400,6.83,3.35,76418,55,1052
17031820104,8.07,3.15,75603,50,1160
17031823303,9.86,5.16,71544,55,980
17031823605,5.53,4.17,62500,47,911
17031823805,4.58,3.64,54392,44,1241
17031818402,6.8,4.26,74789,63,1322
17031230300,29.61,9.12,50242,0,1017
17031240200,4.85,3.57,148009,65,1599
17031240800,9.65,5.17,54632,0,1129
17031250500,10.28,8.32,96920,74,930
17031251100,27.05,12.27,19938,0,985
17031800300,1.47,1.72,207500,78,1617
17031801300,2.64,5.07,164306,0,1071
17197880507,9.25,4.02,83309,19,1322
17197881002,3.88,3.43,104236,35,1599
17197881011,5.38,3.59,99767,32,0
17197881116,2.39,3.16,135250,24,0
17197881601,5.36,3.31,68194,55,1174
17197881700,3.57,6.55,69940,69,1186
17197882601,17.83,4.1,60969,66,1322
17197883208,12.63,1.12,55076,31,1223
17197883216,5.16,1.89,106094,42,0
17197883510,3.52,3.75,113782,20,1558
17089850101,14.05,8.5,67743,19,1312
17089851000,15.92,5,51354,47,1108
17089851101,22.09,6.61,56372,67,1133
17031838200,6.83,5.26,61458,0,1144
17031839800,15.8,3.02,60590,0,1085
17031840100,17.7,9.87,50469,0,956
17031841200,27.03,6.17,45700,0,984
17043844001,3.14,2.52,126579,55,1539
17197880112,10.8,2.88,96071,43,1577
17197880412,8.95,8.15,88325,27,1368
17197880505,22.34,8.32,80142,42,1683
17031841600,29.98,13.22,24848,0,1182
17031842100,24.73,9.57,38603,73,973
17031842800,34.43,4.08,36439,0,935
17031843700,16.15,2.75,114886,39,1085
17037000700,4.98,4.63,64444,40,892
17031827400,16.93,18.62,22561,55,968
17031827802,6.4,7.06,73409,57,1195
17031828402,12.18,9.39,52381,52,1047
17031828802,7.89,5.27,73510,61,1542
17031829200,26.13,8.38,46875,69,998
17031829600,13.47,10.16,53911,56,860
17031830007,5.2,21.4,47466,40,968
17031830300,3.98,13.92,38043,62,1086
17031831000,1.14,1.65,149722,28,2127
17043843100,9.95,3.53,54602,60,1069
17043843900,0.39,3.9,128611,67,1264
17043844305,6.8,2.51,64183,38,1679
17043844702,4.92,0.63,151250,43,625
17043845505,7.85,8.96,80223,45,1138
17031661000,19.43,30.36,34230,67,1060
17031670200,20.9,24.87,28250,0,913
17031671100,17.9,14.41,33571,0,900
17031671900,28.1,10.62,47400,78,1203
17031681300,19.13,32.34,25360,78,836
17097864204,11.05,2.86,76712,29,1177
17097864409,12.44,4,98244,40,1166
